sequence_id,order_id,order_type,item_id,item_quantity,order_arrival
0,-50,1,6,6,0
1,-50,1,12,5,0
2,-49,1,32,3,0
3,-49,1,50,2,0
4,-48,1,67,9,0
5,-48,1,124,6,0
6,-47,1,23,11,0
7,-46,1,149,7,0
8,-46,1,39,8,0
9,-46,1,14,3,0
10,-46,1,186,4,0
11,-46,1,138,12,0
12,-45,1,0,5,0
13,-45,1,106,10,0
14,-45,1,178,8,0
15,-45,1,76,6,0
16,-44,1,31,8,0
17,-44,1,34,6,0
18,-43,1,120,6,0
19,-43,1,156,7,0
20,-43,1,392,7,0
21,-43,1,93,8,0
22,-43,1,49,4,0
23,-42,1,30,8,0
24,-42,1,17,4,0
25,-42,1,67,6,0
26,-41,1,163,10,0
27,-41,1,21,2,0
28,-40,1,89,10,0
29,-40,1,32,4,0
30,-40,1,317,8,0
31,-40,1,131,6,0
32,-40,1,0,7,0
33,-39,1,37,6,0
34,-39,1,17,5,0
35,-39,1,16,6,0
36,-38,1,67,11,0
37,-38,1,146,4,0
38,-37,1,48,8,0
39,-37,1,47,11,0
40,-37,1,106,10,0
41,-36,1,404,10,0
42,-36,1,24,6,0
43,-35,1,29,4,0
44,-34,1,165,6,0
45,-33,1,64,6,0
46,-33,1,5,6,0
47,-33,1,129,9,0
48,-32,1,106,4,0
49,-31,1,44,4,0
50,-31,1,11,10,0
51,-31,1,117,8,0
52,-31,1,13,10,0
53,-31,1,1,5,0
54,-31,1,48,8,0
55,-31,1,12,2,0
56,-30,1,27,12,0
57,-29,1,12,8,0
58,-29,1,67,6,0
59,-28,1,128,4,0
60,-28,1,11,4,0
61,-28,1,41,5,0
62,-27,1,17,7,0
63,-26,1,100,9,0
64,-26,1,60,5,0
65,-26,1,119,1,0
66,-26,1,255,8,0
67,-26,1,4,3,0
68,-26,1,1,10,0
69,-26,1,212,12,0
70,-26,1,2,5,0
71,-26,1,135,8,0
72,-26,1,10,9,0
73,-26,1,496,8,0
74,-25,1,184,10,0
75,-25,1,29,4,0
76,-25,1,38,8,0
77,-25,1,82,3,0
78,-24,1,23,5,0
79,-24,1,102,7,0
80,-24,1,33,3,0
81,-24,1,9,4,0
82,-24,1,14,10,0
83,-24,1,20,9,0
84,-24,1,159,7,0
85,-24,1,10,7,0
86,-24,1,13,7,0
87,-24,1,24,5,0
88,-24,1,61,6,0
89,-24,1,331,7,0
90,-24,1,8,8,0
91,-23,1,149,12,0
92,-22,1,84,12,0
93,-22,1,148,8,0
94,-22,1,13,6,0
95,-22,1,37,10,0
96,-22,1,38,12,0
97,-22,1,28,3,0
98,-22,1,409,7,0
99,-22,1,104,10,0
100,-22,1,14,9,0
101,-22,1,49,12,0
102,-21,1,191,9,0
103,-21,1,8,4,0
104,-21,1,301,5,0
105,-21,1,5,8,0
106,-21,1,95,6,0
107,-21,1,13,2,0
108,-20,1,395,6,0
109,-20,1,96,9,0
110,-20,1,67,6,0
111,-19,1,1,5,0
112,-18,1,5,6,0
113,-17,1,88,12,0
114,-17,1,14,6,0
115,-17,1,365,6,0
116,-17,1,0,6,0
117,-16,1,37,7,0
118,-16,1,33,7,0
119,-16,1,185,7,0
120,-15,1,113,2,0
121,-15,1,137,4,0
122,-15,1,10,1,0
123,-15,1,36,8,0
124,-14,1,115,8,0
125,-14,1,114,4,0
126,-14,1,7,5,0
127,-13,1,5,8,0
128,-13,1,46,9,0
129,-13,1,134,6,0
130,-13,1,26,12,0
131,-13,1,23,10,0
132,-13,1,177,6,0
133,-13,1,15,10,0
134,-12,1,36,7,0
135,-12,1,33,3,0
136,-12,1,18,2,0
137,-11,1,34,8,0
138,-11,1,19,4,0
139,-11,1,47,12,0
140,-11,1,30,6,0
141,-10,1,16,6,0
142,-10,1,161,7,0
143,-9,1,136,4,0
144,-9,1,33,12,0
145,-8,1,38,8,0
146,-8,1,196,4,0
147,-7,1,2,3,0
148,-7,1,35,10,0
149,-7,1,16,4,0
150,-7,1,14,12,0
151,-7,1,100,7,0
152,-7,1,34,12,0
153,-7,1,6,6,0
154,-6,1,42,8,0
155,-6,1,34,3,0
156,-6,1,14,2,0
157,-6,1,0,4,0
158,-6,1,146,10,0
159,-6,1,7,10,0
160,-6,1,1,12,0
161,-5,1,12,4,0
162,-5,1,395,2,0
163,-5,1,34,2,0
164,-4,1,44,7,0
165,-3,1,120,6,0
166,-2,1,91,2,0
167,-2,1,80,4,0
168,-1,1,109,5,0
169,-1,1,26,9,0
170,-1,1,199,7,0
171,-1,1,9,6,0
172,-1,1,5,6,0
173,-1,1,0,6,0
174,-1,1,43,9,0
175,-1,1,298,4,0
176,-1,1,161,4,0
