order_id,order_dum,order_type,item,qty,facing,due_date,station,pod_id,status,finish_time,date,time_gen,source_order_id
0,0,1,3172,3,-1,99999,-1,-1,-3,-1,1,0,MV_0000020207_1
1,1,1,70,24,-1,99999,-1,-1,-3,-1,1,0,DO_0000439222
2,2,1,3866,24,-1,99999,-1,-1,-3,-1,1,0,DO_0000426344
3,3,1,90,2,-1,99999,-1,-1,-3,-1,1,0,DO_0000419327
4,3,1,277,2,-1,99999,-1,-1,-3,-1,1,0,DO_0000419327
5,3,1,2522,4,-1,99999,-1,-1,-3,-1,1,0,DO_0000419327
6,3,1,3170,5,-1,99999,-1,-1,-3,-1,1,0,DO_0000419327
7,3,1,3681,6,-1,99999,-1,-1,-3,-1,1,0,DO_0000419327
8,3,1,3773,6,-1,99999,-1,-1,-3,-1,1,0,DO_0000419327
9,3,1,3806,6,-1,99999,-1,-1,-3,-1,1,0,DO_0000419327
10,4,1,2067,1,-1,99999,-1,-1,-3,-1,1,0,DO_0000418842
11,4,1,2390,1,-1,99999,-1,-1,-3,-1,1,0,DO_0000418842
12,4,1,3227,1,-1,99999,-1,-1,-3,-1,1,0,DO_0000418842
13,4,1,3684,3,-1,99999,-1,-1,-3,-1,1,0,DO_0000418842
14,4,1,3806,3,-1,99999,-1,-1,-3,-1,1,0,DO_0000418842
15,5,1,268,24,-1,99999,-1,-1,-3,-1,1,344760,DO_0000442615
16,6,1,371,6,-1,99999,-1,-1,-3,-1,1,344760,DO_0000403059
17,6,1,3625,1,-1,99999,-1,-1,-3,-1,1,344760,DO_0000403059
18,7,1,1203,1,-1,99999,-1,-1,-3,-1,1,344760,DO_0000419117
19,8,1,119,18,-1,99999,-1,-1,-3,-1,1,344760,DO_0000401982
20,8,1,828,2,-1,99999,-1,-1,-3,-1,1,344760,DO_0000401982
21,9,1,323,24,-1,99999,-1,-1,-3,-1,1,344760,DO_0000409265
22,10,1,41,24,-1,99999,-1,-1,-3,-1,1,344760,DO_0000429734
23,11,1,3,42,-1,99999,-1,-1,-3,-1,1,344760,DO_0000446960
24,12,1,3868,12,-1,99999,-1,-1,-3,-1,1,344760,DO_0000437535
25,13,1,3883,24,-1,99999,-1,-1,-3,-1,1,344760,DO_0000437874
26,14,1,75,6,-1,99999,-1,-1,-3,-1,1,344760,DO_0000436733
27,14,1,257,4,-1,99999,-1,-1,-3,-1,1,344760,DO_0000436733
28,14,1,1801,3,-1,99999,-1,-1,-3,-1,1,344760,DO_0000436733
29,14,1,1802,1,-1,99999,-1,-1,-3,-1,1,344760,DO_0000436733
30,14,1,2712,1,-1,99999,-1,-1,-3,-1,1,344760,DO_0000436733
31,15,1,841,6,-1,99999,-1,-1,-3,-1,1,344760,DO_0000438730
32,16,1,134,24,-1,99999,-1,-1,-3,-1,1,344760,DO_0000428921
33,17,1,180,48,-1,99999,-1,-1,-3,-1,1,344760,DO_0000414168
34,18,1,180,48,-1,99999,-1,-1,-3,-1,1,344760,DO_0000440706
35,19,1,290,24,-1,99999,-1,-1,-3,-1,1,344760,DO_0000428818
