sequence_id,order_id,order_type,item_id,item_quantity,order_arrival,source_order_id
0,1732,1,298,72,0,DO_0000406960
1,1733,1,32,24,0,DO_0000406961
2,1734,1,361,48,0,DO_0000406962
3,1735,1,357,48,0,DO_0000406965
4,1736,1,3814,3,0,DO_0000406966
5,1737,1,4,48,0,DO_0000406967
6,1738,1,123,48,0,DO_0000406968
7,1740,1,260,24,0,DO_0000406970
8,1741,1,362,24,0,DO_0000406971
9,1742,1,357,48,0,DO_0000406973
10,1743,1,298,72,0,DO_0000406975
11,1744,1,182,24,0,DO_0000406976
12,1745,1,3815,3,0,DO_0000406977
13,1746,1,290,24,0,DO_0000406978
14,1747,1,283,96,0,DO_0000406982
15,1748,1,8,48,0,DO_0000406983
16,1750,1,283,96,0,DO_0000406985
17,1751,1,3668,24,0,DO_0000406986
18,1752,1,180,24,0,DO_0000406989
19,1753,1,317,24,0,DO_0000406990
20,1755,1,361,48,0,DO_0000406992
21,1757,1,8,48,0,DO_0000406996
22,1758,1,362,72,0,DO_0000406997
23,1759,1,13,1,0,DO_0000406998
24,1760,1,8,48,0,DO_0000406999
25,1761,1,283,96,0,DO_0000407000
26,1762,1,298,24,0,DO_0000407001
27,1763,1,361,24,0,DO_0000407003
28,1765,1,283,96,0,DO_0000407005
29,1766,1,39,24,0,DO_0000407006
30,1767,1,3897,24,0,DO_0000407008
31,1768,1,298,72,0,DO_0000407010
32,1769,1,39,24,0,DO_0000407011
33,1770,1,3897,48,0,DO_0000407013
34,1771,1,343,24,0,DO_0000407014
35,1772,1,362,72,0,DO_0000407015
36,1773,1,17,24,0,DO_0000407016
37,1775,1,3671,12,0,DO_0000407020
38,1776,1,182,72,0,DO_0000407021
39,1777,1,290,24,0,DO_0000407022
40,1778,1,317,24,0,DO_0000407023
41,1779,1,280,48,0,DO_0000407024
42,1780,1,69,48,0,DO_0000407025
43,1781,1,176,12,0,DO_0000407026
44,1782,1,260,24,0,DO_0000407027
45,1783,1,280,48,0,DO_0000407028
46,1785,1,362,72,0,DO_0000407031
47,1786,1,3651,24,0,DO_0000407032
48,1787,1,69,48,0,DO_0000407034
49,1789,1,3897,48,0,DO_0000407037
50,1790,1,22,48,0,DO_0000407039
51,1791,1,123,48,0,DO_0000407041
52,1792,1,166,24,0,DO_0000407042
53,1793,1,3815,3,0,DO_0000407043
54,1794,1,41,96,0,DO_0000407044
55,1795,1,105,24,0,DO_0000407045
56,1796,1,22,48,0,DO_0000407046
57,1797,1,20,48,0,DO_0000407048
58,1798,1,41,96,0,DO_0000407049
59,1799,1,3815,3,0,DO_0000407051
60,1800,1,3814,3,0,DO_0000407055
61,1801,1,180,24,0,DO_0000407056
62,1802,1,8,48,0,DO_0000407057
63,1803,1,268,24,0,DO_0000407058
64,1804,1,70,24,0,DO_0000407059
65,1805,1,20,48,0,DO_0000407060
66,1806,1,170,48,0,DO_0000407061
67,1807,1,41,96,0,DO_0000407062
68,1808,1,13,1,0,DO_0000407063
69,1809,1,170,48,0,DO_0000407064
70,1810,1,323,24,0,DO_0000407065
71,1811,1,182,72,0,DO_0000407066
72,1812,1,182,72,0,DO_0000407067
73,1813,1,3814,3,0,DO_0000407068
74,1814,1,41,96,0,DO_0000407069
75,1815,1,287,24,0,DO_0000407070
76,1754,1,4,48,1,DO_0000406991
77,1823,1,20,48,8,DO_0000407085
78,1824,1,180,24,8,DO_0000407086
79,1826,1,279,48,8,DO_0000407092
80,1827,1,279,48,8,DO_0000407094
81,1828,1,20,48,8,DO_0000407095
82,1817,1,338,48,9,DO_0000407076
83,1818,1,166,48,9,DO_0000407079
84,1819,1,3072,12,9,DO_0000407081
85,1821,1,338,48,9,DO_0000407083
86,1822,1,180,48,9,DO_0000407084
87,1829,1,180,48,9,DO_0000407097
88,1830,1,166,48,9,DO_0000407101
89,1831,1,20,24,9,DO_0000407105
90,1832,1,70,24,9,DO_0000407106
91,1833,1,3069,5,9,DO_0000407108
92,1833,1,3069,7,9,DO_0000407108
93,14931,1,2422,2,16,MV_0000020118_1
94,14932,1,2422,4,16,MV_0000020118_2
95,14933,1,2427,1,17,MV_0000020119_1
96,14934,1,2428,1,17,MV_0000020120_1
97,14935,1,2566,1,18,MV_0000020123_1
98,14936,1,3146,9,19,MV_0000020125_1
99,1739,1,180,24,33,DO_0000406969
100,1749,1,39,48,33,DO_0000406984
101,1756,1,28,24,33,DO_0000406993
102,1764,1,39,48,33,DO_0000407004
103,1774,1,28,24,34,DO_0000407018
104,1784,1,69,24,34,DO_0000407029
105,1788,1,180,24,34,DO_0000407036
106,14937,1,3174,10,40,MV_0000020127_1
107,1889,1,283,24,48,DO_0000407245
108,1951,1,301,12,48,DO_0000407336
109,1981,1,180,24,48,DO_0000407378
110,1888,1,170,24,49,DO_0000407244
111,1905,1,270,24,49,DO_0000407264
112,1945,1,256,12,49,DO_0000407330
113,1961,1,180,24,49,DO_0000407350
114,1968,1,3093,12,49,DO_0000407359
115,1970,1,3149,12,49,DO_0000407363
116,1989,1,3139,12,49,DO_0000407390
117,1990,1,32,24,49,DO_0000407391
118,1995,1,20,24,49,DO_0000407397
119,0,1,1196,6,52,DO_0000337509
120,0,1,2221,1,52,DO_0000337509
121,0,1,3121,4,52,DO_0000337509
122,0,1,3169,4,52,DO_0000337509
123,0,1,3170,5,52,DO_0000337509
124,10,1,182,48,52,DO_0000344502
125,10,1,260,24,52,DO_0000344502
126,10,1,287,24,52,DO_0000344502
127,10,1,2081,2,52,DO_0000344502
128,10,1,2230,2,52,DO_0000344502
129,10,1,3077,6,52,DO_0000344502
130,10,1,3127,6,52,DO_0000344502
131,10,1,3146,6,52,DO_0000344502
132,527,1,4043,1,52,DO_0000383518
133,569,1,984,3,52,DO_0000386713
134,708,1,369,4,52,DO_0000394002
135,708,1,386,4,52,DO_0000394002
136,708,1,387,4,52,DO_0000394002
137,708,1,397,4,52,DO_0000394002
138,708,1,414,4,52,DO_0000394002
139,1231,1,130,6,52,DO_0000401285
140,1231,1,1983,1,52,DO_0000401285
141,1231,1,2007,1,52,DO_0000401285
142,1231,1,2008,1,52,DO_0000401285
143,1231,1,2009,1,52,DO_0000401285
144,1231,1,2029,1,52,DO_0000401285
145,1231,1,2040,2,52,DO_0000401285
146,1231,1,2043,2,52,DO_0000401285
147,1231,1,2247,2,52,DO_0000401285
148,1231,1,2248,1,52,DO_0000401285
149,1231,1,2281,1,52,DO_0000401285
150,1231,1,2383,1,52,DO_0000401285
151,1231,1,2384,1,52,DO_0000401285
152,1231,1,2404,1,52,DO_0000401285
153,1231,1,2507,2,52,DO_0000401285
154,1232,1,4,6,52,DO_0000401288
