sequence_id,order_id,order_type,item_id,item_quantity,order_arrival
1,-50,1,36,7,0
2,-50,1,17,12,0
3,-50,1,51,8,0
4,-49,1,14,3,0
5,-49,1,22,8,0
6,-49,1,77,4,0
7,-48,1,1,6,0
8,-48,1,35,8,0
9,-47,1,33,9,0
10,-46,1,4,8,0
11,-46,1,45,10,0
12,-46,1,62,6,0
13,-46,1,6,6,0
14,-46,1,19,6,0
15,-46,1,17,8,0
16,-46,1,65,9,0
17,-46,1,21,8,0
18,-45,1,40,9,0
19,-45,1,293,4,0
20,-45,1,0,9,0
21,-44,1,7,7,0
22,-43,1,32,8,0
23,-42,1,224,3,0
24,-42,1,124,3,0
25,-42,1,132,4,0
26,-41,1,8,8,0
27,-41,1,4,6,0
28,-40,1,296,8,0
29,-39,1,67,6,0
30,-39,1,49,6,0
31,-39,1,91,4,0
32,-39,1,6,7,0
33,-39,1,190,10,0
34,-39,1,36,1,0
35,-39,1,38,6,0
36,-38,1,323,3,0
37,-37,1,11,8,0
38,-36,1,18,11,0
39,-36,1,325,5,0
40,-36,1,174,7,0
41,-35,1,24,12,0
42,-35,1,9,10,0
43,-34,1,40,4,0
44,-34,1,10,6,0
45,-34,1,29,5,0
46,-34,1,63,10,0
47,-34,1,5,10,0
48,-34,1,444,2,0
49,-34,1,15,10,0
50,-34,1,14,2,0
51,-34,1,30,6,0
52,-33,1,120,10,0
53,-33,1,183,10,0
54,-33,1,184,8,0
55,-33,1,57,6,0
56,-33,1,30,2,0
57,-33,1,36,5,0
58,-33,1,0,1,0
59,-33,1,22,6,0
60,-32,1,23,9,0
61,-32,1,84,10,0
62,-31,1,4,5,0
63,-30,1,140,10,0
64,-29,1,24,4,0
65,-29,1,170,9,0
66,-29,1,18,6,0
67,-28,1,0,6,0
68,-28,1,23,10,0
69,-27,1,80,6,0
70,-27,1,61,2,0
71,-27,1,182,10,0
72,-27,1,475,8,0
73,-27,1,169,5,0
74,-26,1,189,2,0
75,-26,1,21,9,0
76,-26,1,85,2,0
77,-26,1,91,7,0
78,-25,1,29,2,0
79,-25,1,190,6,0
80,-25,1,20,9,0
81,-25,1,106,7,0
82,-24,1,163,8,0
83,-24,1,319,5,0
84,-24,1,165,4,0
85,-24,1,101,6,0
86,-24,1,65,8,0
87,-23,1,10,4,0
88,-22,1,44,4,0
89,-22,1,12,9,0
90,-22,1,0,8,0
91,-22,1,49,5,0
92,-22,1,31,9,0
93,-22,1,21,11,0
94,-22,1,2,10,0
95,-22,1,4,3,0
96,-22,1,19,6,0
