sequence_id,order_id,order_type,item_id,item_quantity,order_arrival
1,0,1,0,5,360
2,1,1,7,11,420
3,1,1,123,12,420
4,2,1,19,7,420
5,2,1,25,10,420
6,3,1,15,6,420
7,3,1,31,3,420
8,4,1,46,5,480
9,4,1,20,3,480
10,4,1,228,4,480
11,4,1,14,11,480
12,5,1,1,3,540
13,5,1,10,11,540
14,5,1,5,11,540
15,6,1,441,12,540
16,7,1,5,6,540
17,7,1,178,2,540
18,7,1,96,9,540
19,8,1,270,10,600
20,8,1,170,6,600
21,8,1,36,10,600
22,8,1,1,8,600
23,9,1,5,10,600
24,9,1,117,6,600
25,9,1,34,4,600
26,9,1,18,5,600
27,9,1,10,6,600
28,9,1,40,6,600
29,9,1,20,8,600
30,9,1,1,6,600
31,10,1,62,1,720
32,10,1,18,8,720
33,11,1,36,7,780
34,12,1,29,2,780
35,12,1,12,8,780
36,12,1,23,8,780
37,13,1,345,4,840
38,14,1,173,7,840
39,15,1,3,2,900
40,15,1,92,6,900
41,15,1,33,3,900
42,16,1,17,11,900
43,16,1,19,8,900
44,16,1,3,2,900
45,16,1,58,10,900
46,16,1,40,6,900
47,16,1,332,4,900
48,16,1,157,10,900
49,17,1,28,9,1020
50,17,1,5,8,1020
51,18,1,2,4,1020
52,18,1,49,2,1020
53,19,1,18,9,1020
54,20,1,67,8,1080
55,21,1,187,8,1080
56,21,1,26,8,1080
57,21,1,91,5,1080
58,21,1,68,11,1080
59,21,1,7,4,1080
60,22,1,2,11,1140
61,23,1,203,5,1140
62,24,1,62,7,1140
63,24,1,322,11,1140
64,25,1,32,5,1200
65,26,1,48,4,1200
66,26,1,1,6,1200
67,27,1,155,10,1200
68,28,1,48,12,1260
69,29,1,414,7,1320
70,29,1,19,6,1320
71,30,1,80,4,1320
72,30,1,42,3,1320
73,30,1,8,8,1320
74,31,1,7,10,1380
75,31,1,40,10,1380
76,31,1,98,7,1380
77,31,1,176,6,1380
78,31,1,44,6,1380
79,31,1,48,10,1380
80,32,1,162,10,1440
81,32,1,210,8,1440
82,32,1,5,6,1440
83,32,1,3,11,1440
84,33,1,17,12,1500
85,33,1,215,6,1500
86,34,1,5,7,1560
87,35,1,148,5,1620
88,35,1,4,7,1620
89,35,1,3,4,1620
90,35,1,10,12,1620
91,35,1,23,11,1620
92,36,1,21,4,1620
93,37,1,156,5,1620
94,38,1,24,5,1800
95,38,1,156,6,1800
96,38,1,10,3,1800
97,38,1,109,8,1800
98,38,1,144,4,1800
99,38,1,110,7,1800
100,38,1,40,6,1800
101,38,1,3,4,1800
102,38,1,2,8,1800
103,39,1,116,9,1860
104,39,1,11,5,1860
105,39,1,38,6,1860
106,40,1,6,8,2040
107,40,1,7,4,2040
108,40,1,0,5,2040
109,40,1,16,7,2040
110,41,1,49,8,2040
111,42,1,61,6,2040
112,42,1,118,7,2040
113,43,1,48,6,2040
114,44,1,175,5,2100
115,44,1,3,9,2100
116,44,1,112,10,2100
117,44,1,14,10,2100
118,44,1,139,4,2100
119,44,1,33,12,2100
120,44,1,98,8,2100
121,45,1,46,6,2100
122,45,1,18,6,2100
123,45,1,37,6,2100
124,45,1,0,4,2100
125,46,1,21,10,2100
126,47,1,190,8,2100
127,47,1,120,5,2100
128,48,1,168,4,2160
129,48,1,99,4,2160
130,49,1,108,10,2340
131,49,1,11,6,2340
132,50,1,2,6,2340
133,50,1,119,3,2340
134,51,1,50,8,2340
