item_code,quantity,number_of_orders_that_use_that_quantity,demand_probability
10000001001,1,4,0.15384615384615385
10000001001,2,5,0.19230769230769232
10000001001,3,2,0.07692307692307693
10000001001,4,3,0.11538461538461539
10000001001,5,1,0.038461538461538464
10000001001,6,4,0.15384615384615385
10000001001,8,2,0.07692307692307693
10000001001,12,1,0.038461538461538464
10000001001,16,1,0.038461538461538464
10000001001,22,1,0.038461538461538464
10000001001,24,2,0.07692307692307693
10000002001,1,118,0.15881561238223418
10000002001,2,91,0.1224764468371467
10000002001,3,32,0.04306864064602961
10000002001,4,13,0.017496635262449527
10000002001,5,7,0.009421265141318977
10000002001,6,150,0.2018842530282638
10000002001,7,6,0.008075370121130552
10000002001,8,5,0.006729475100942127
10000002001,9,12,0.016150740242261104
10000002001,11,4,0.005383580080753701
10000002001,12,72,0.09690444145356662
10000002001,13,4,0.005383580080753701
10000002001,15,9,0.012113055181695828
10000002001,16,3,0.004037685060565276
10000002001,18,50,0.06729475100942127
10000002001,21,1,0.0013458950201884253
10000002001,22,5,0.006729475100942127
10000002001,23,1,0.0013458950201884253
10000002001,24,42,0.05652759084791386
10000002001,30,46,0.06191117092866756
10000002001,36,15,0.020188425302826378
10000002001,37,1,0.0013458950201884253
10000002001,39,1,0.0013458950201884253
10000002001,42,11,0.014804845222072678
10000002001,48,19,0.02557200538358008
10000002001,50,1,0.0013458950201884253
10000002001,54,14,0.018842530282637954
10000002001,60,10,0.013458950201884253
10000003001,6,61,0.3961038961038961
10000003001,12,20,0.12987012987012986
10000003001,18,3,0.01948051948051948
10000003001,24,54,0.35064935064935066
10000003001,48,14,0.09090909090909091
10000003001,96,2,0.012987012987012988
10000004001,1,2,0.013333333333333334
10000004001,2,3,0.02
10000004001,3,3,0.02
10000004001,4,3,0.02
10000004001,6,58,0.38666666666666666
10000004001,12,37,0.24666666666666667
10000004001,18,12,0.08
10000004001,24,11,0.07333333333333333
10000004001,30,7,0.04666666666666667
10000004001,35,1,0.006666666666666667
10000004001,36,2,0.013333333333333334
10000004001,42,7,0.04666666666666667
10000004001,48,4,0.02666666666666667
10000005001,6,179,0.3370998116760829
10000005001,12,55,0.10357815442561205
10000005001,18,22,0.04143126177024482
10000005001,24,174,0.327683615819209
10000005001,30,3,0.005649717514124294
10000005001,36,1,0.0018832391713747645
10000005001,42,3,0.005649717514124294
10000005001,48,81,0.15254237288135594
10000005001,72,7,0.013182674199623353
10000005001,96,5,0.009416195856873822
10000005001,108,1,0.0018832391713747645
10000006001,1,1,0.3333333333333333
10000006001,6,2,0.6666666666666666
10000007001,6,118,0.3881578947368421
10000007001,12,45,0.14802631578947367
10000007001,18,13,0.04276315789473684
10000007001,24,86,0.28289473684210525
10000007001,30,1,0.003289473684210526
10000007001,42,1,0.003289473684210526
10000007001,48,35,0.11513157894736842
10000007001,54,1,0.003289473684210526
10000007001,72,1,0.003289473684210526
10000007001,84,2,0.006578947368421052
10000007001,96,1,0.003289473684210526
10000008001,12,3,0.75
10000008001,24,1,0.25
10000010001,1,32,0.1711229946524064
10000010001,2,14,0.0748663101604278
10000010001,3,9,0.0481283422459893
10000010001,4,4,0.0213903743315508
