order_id,order_arrival,process_start_time,order_complete_time,station_id
-42,0,1,73,picker-2
-29,0,1,73,picker-2
-28,0,1,81,picker-2
-40,0,1,90,picker-2
-30,0,1,98,picker-2
-14,0,1,99,picker-3
-8,0,1,99,picker-3
-2,0,1,201,picker-3
-13,0,1,204,picker-2
-12,0,1,210,picker-3
-50,0,1,213,picker-1
-32,0,1,240,picker-1
-21,0,1,250,picker-1
-19,0,1,287,picker-1
-10,0,1,317,picker-1
-48,0,1,356,picker-3
-49,0,1,400,picker-1
-46,0,74,446,picker-2
-45,0,74,473,picker-2
-47,0,1,479,picker-3
-43,0,91,482,picker-2
-41,0,99,490,picker-2
-39,0,100,492,picker-3
-44,0,82,498,picker-2
-37,0,202,524,picker-3
-38,0,100,540,picker-3
-36,0,205,545,picker-2
-35,0,211,548,picker-3
-34,0,214,638,picker-1
-33,0,241,678,picker-1
-31,0,251,689,picker-1
-27,0,288,719,picker-1
-26,0,318,730,picker-1
-25,0,357,790,picker-3
-23,0,447,800,picker-2
-22,0,474,809,picker-2
-24,0,401,820,picker-1
-18,0,483,825,picker-2
-20,0,480,827,picker-3
-17,0,491,833,picker-2
-16,0,493,847,picker-3
-15,0,499,859,picker-2
-11,0,525,881,picker-3
-6,0,549,898,picker-3
-9,0,541,906,picker-3
-7,0,546,944,picker-2
-5,0,639,984,picker-1
-4,0,679,1026,picker-1
-1,0,720,1056,picker-1
2,180,801,1068,picker-2
1,180,791,1077,picker-3
-3,0,690,1077,picker-1
3,180,810,1096,picker-2
0,120,731,1108,picker-1
5,180,826,1112,picker-2
4,180,821,1118,picker-1
7,240,834,1142,picker-2
6,240,828,1161,picker-3
9,300,860,1162,picker-2
8,300,848,1169,picker-3
11,360,899,1198,picker-3
10,300,882,1259,picker-3
12,420,907,1290,picker-3
14,480,985,1291,picker-1
13,420,945,1310,picker-2
15,540,1027,1331,picker-1
17,600,1069,1351,picker-2
16,600,1057,1363,picker-1
18,600,1078,1371,picker-1
19,720,1078,1376,picker-3
21,780,1109,1387,picker-1
20,780,1097,1396,picker-2
22,840,1113,1433,picker-2
23,840,1119,1439,picker-1
24,900,1143,1457,picker-2
25,900,1162,1486,picker-3
26,900,1163,1510,picker-2
28,1020,1199,1538,picker-3
27,960,1170,1546,picker-3
31,1140,1292,1578,picker-1
29,1080,1260,1586,picker-3
30,1080,1291,1594,picker-3
32,1140,1311,1609,picker-2
33,1200,1332,1636,picker-1
34,1200,1352,1639,picker-2
35,1200,1364,1723,picker-1
36,1200,1372,1733,picker-1
37,1200,1377,1745,picker-3
38,1260,1388,1776,picker-1
39,1260,1397,1807,picker-2
40,1260,1434,1827,picker-2
44,1440,1511,1851,picker-2
41,1320,1440,1870,picker-1
45,1440,1539,1880,picker-3
42,1380,1458,1898,picker-2
46,1500,1547,1899,picker-3
43,1380,1487,1922,picker-3
47,1500,1579,1950,picker-1
48,1500,1587,1981,picker-3
50,1560,1610,1986,picker-2
49,1500,1595,2012,picker-3
51,1560,1637,2018,picker-1
52,1620,1640,2032,picker-2
53,1680,1724,2090,picker-1
54,1740,1740,2114,picker-1
55,1740,1746,2135,picker-3
56,1860,1860,2202,picker-1
57,1920,1920,2212,picker-1
59,1920,1920,2215,picker-2
58,1920,1920,2224,picker-2
