robot_name,robot_state,robot_destination,intersection_start_time,intersection_finish_time,intersection_id,energy_consumption_intersection,queueing_robot
robot-17,taking_pod,"(20,11)",0.44999999999999996,4.800000000000001,15-15,0.00046124999999999996,1
robot-13,taking_pod,"(14,7)",4.5,10.800000000000015,15-12,0.004166249999999999,1
robot-10,delivering_pod,"(4,9)",10.350000000000014,17.85000000000001,15-12,0.002188125,0
robot-17,delivering_pod,"(4,15)",26.849999999999923,30.899999999999885,15-15,0.0057375,1
robot-8,delivering_pod,"(4,21)",31.649999999999878,35.69999999999984,15-15,0.00580125,1
robot-4,delivering_pod,"(4,15)",44.549999999999756,48.59999999999972,15-15,0.00580125,1
robot-1,delivering_pod,"(4,21)",56.69999999999964,60.7499999999996,15-15,0.0057375,2
robot-3,delivering_pod,"(4,15)",58.49999999999962,62.84999999999958,15-15,0.005086249999999999,1
robot-10,returning_pod,"(13,11)",91.65000000000062,97.20000000000083,15-12,0.0030756249999999985,1
robot-10,taking_pod,"(23,20)",105.60000000000115,109.6500000000013,15-12,0.001666875,0
robot-17,returning_pod,"(20,11)",161.70000000000326,165.7500000000034,15-12,0.00580125,1
robot-17,delivering_pod,"(4,15)",214.50000000000526,218.4000000000054,15-15,0.005578125,1
robot-2,taking_pod,"(22,7)",259.20000000000636,261.15000000000606,15-15,0.0026774999999999993,1
robot-2,taking_pod,"(22,7)",261.15000000000606,266.1000000000053,15-12,0.0022581249999999997,1
robot-1,returning_pod,"(17,13)",286.80000000000217,290.7000000000016,15-12,0.005488124999999999,1
robot-14,taking_pod,"(19,1)",290.85000000000156,292.80000000000126,15-15,0.0026774999999999993,1
robot-14,taking_pod,"(19,1)",292.80000000000126,294.90000000000094,15-12,0.002900624999999999,1
robot-1,taking_pod,"(19,26)",304.9499999999994,305.54999999999933,15-15,0.0006693749999999998,0
robot-11,taking_pod,"(13,10)",313.34999999999815,315.29999999999785,15-15,0.0026774999999999993,1
robot-11,taking_pod,"(13,10)",315.29999999999785,317.5499999999975,15-12,0.0023625,1
robot-4,taking_pod,"(12,10)",327.449999999996,334.34999999999496,15-15,0.005159999999999999,1
robot-16,returning_pod,"(36,13)",331.19999999999544,335.2499999999948,15-12,0.00580125,2
robot-4,taking_pod,"(12,10)",334.34999999999496,337.19999999999453,15-12,0.0022899999999999995,1
robot-11,returning_pod,"(13,10)",387.29999999998694,394.1999999999859,15-12,0.005132499999999998,1
robot-6,returning_pod,"(23,11)",400.199999999985,404.0999999999844,15-12,0.005578125,1
robot-7,delivering_pod,"(4,9)",417.44999999998237,421.49999999998175,15-15,0.0057375,1
robot-15,taking_pod,"(20,10)",442.7999999999785,446.099999999978,15-15,0.0006787500000000001,1
robot-4,returning_pod,"(12,10)",445.0499999999782,451.79999999997716,15-12,0.005049374999999999,1
robot-9,returning_pod,"(35,11)",456.44999999997646,460.49999999997584,15-12,0.00580125,1
robot-14,delivering_pod,"(4,9)",462.5999999999755,466.6499999999749,15-12,0.001666875,0
robot-3,taking_pod,"(13,7)",463.3499999999754,470.24999999997436,15-15,0.005159999999999999,1
robot-12,returning_pod,"(20,16)",467.3999999999748,471.2999999999742,15-12,0.005578125,2
robot-3,taking_pod,"(13,7)",470.24999999997436,472.799999999974,15-12,0.0024562499999999997,1
robot-4,taking_pod,"(18,13)",471.74999999997414,475.7999999999735,15-12,0.001666875,0
robot-12,returning_pod,"(20,16)",482.99999999997243,486.29999999997193,15-15,0.00063,1
robot-10,returning_pod,"(37,8)",486.74999999997186,490.79999999997125,15-12,0.0057375,1
robot-12,taking_pod,"(18,7)",495.5999999999705,496.3499999999704,15-15,0.0008287499999999998,0
robot-4,delivering_pod,"(4,9)",500.09999999996984,504.1499999999692,15-15,0.0057375,1
robot-16,delivering_pod,"(4,9)",512.699999999968,516.5999999999674,15-15,0.005578125,1
robot-17,returning_pod,"(32,13)",516.1499999999675,520.1999999999668,15-12,0.00580125,1
robot-12,delivering_pod,"(4,21)",523.0499999999664,527.0999999999658,15-15,0.0057375,1
