order_id,order_arrival,process_start_time,order_complete_time,station_id
-47,0,1,73,picker-2
-4,0,1,94,picker-1
-50,0,1,154,picker-2
-46,0,1,154,picker-2
-44,0,1,183,picker-2
-49,0,1,183,picker-3
-11,0,1,183,picker-3
-8,0,1,183,picker-3
-38,0,1,233,picker-2
-9,0,1,263,picker-2
-25,0,1,270,picker-3
-45,0,74,283,picker-2
-48,0,1,290,picker-3
-33,0,1,310,picker-3
-34,0,1,356,picker-1
-1,0,1,356,picker-1
-28,0,1,385,picker-1
-12,0,1,385,picker-1
-43,0,95,429,picker-1
-42,0,155,445,picker-2
-41,0,155,467,picker-2
-40,0,184,554,picker-3
-39,0,184,576,picker-3
-36,0,184,579,picker-2
-35,0,184,599,picker-3
-37,0,1,608,picker-1
-30,0,271,621,picker-3
-27,0,291,643,picker-3
-26,0,311,665,picker-3
-31,0,264,668,picker-2
-29,0,284,690,picker-2
-24,0,357,706,picker-1
-32,0,234,713,picker-2
-19,0,446,785,picker-2
-18,0,468,814,picker-2
-22,0,386,862,picker-1
-17,0,555,869,picker-3
-23,0,357,884,picker-1
-16,0,577,929,picker-3
-21,0,386,974,picker-1
-14,0,600,1008,picker-3
-20,0,430,1018,picker-1
-15,0,580,1022,picker-2
-5,0,669,1092,picker-2
-10,0,622,1093,picker-3
-7,0,644,1113,picker-3
-13,0,609,1130,picker-1
-2,0,707,1172,picker-1
-6,0,666,1173,picker-3
-3,0,691,1194,picker-2
3,420,863,1258,picker-1
0,360,714,1289,picker-2
4,420,870,1357,picker-3
2,420,815,1401,picker-2
7,480,975,1450,picker-1
8,480,1009,1458,picker-3
11,660,1093,1527,picker-2
10,600,1023,1547,picker-2
12,780,1094,1609,picker-3
6,480,930,1609,picker-3
14,780,1131,1615,picker-1
15,780,1173,1675,picker-1
17,840,1195,1680,picker-2
18,900,1259,1701,picker-1
5,480,885,1701,picker-1
13,780,1114,1765,picker-3
9,540,1019,1808,picker-1
22,960,1451,1829,picker-1
16,840,1174,1831,picker-3
21,900,1402,1852,picker-2
20,900,1358,1876,picker-3
1,360,786,2011,picker-2
24,1080,1528,2056,picker-2
