item_id,current_global_qty,max_global_qty,global_inv_level
111,189,189,1.0
68,2240,2240,1.0
6,160,160,1.0
153,252,252,1.0
420,160,160,1.0
419,216,216,1.0
209,840,840,1.0
257,27,27,1.0
95,1680,1680,1.0
66,576,576,1.0
11,6864,6864,1.0
77,1848,1848,1.0
160,100,100,1.0
55,648,648,1.0
331,72,72,1.0
80,320,320,1.0
92,180,180,1.0
27,5376,5376,1.0
16,264,264,1.0
79,216,216,1.0
316,128,128,1.0
47,510,510,1.0
13,1152,1152,1.0
37,6144,6144,1.0
182,108,108,1.0
166,432,432,1.0
8,800,800,1.0
76,144,144,1.0
342,144,144,1.0
192,2160,2160,1.0
214,672,672,1.0
217,504,504,1.0
30,408,408,1.0
72,1440,1440,1.0
34,6384,6384,1.0
137,240,240,1.0
269,180,180,1.0
14,168,168,1.0
128,56,56,1.0
112,2160,2160,1.0
363,60,60,1.0
21,8208,8208,1.0
201,240,240,1.0
367,840,840,1.0
136,384,384,1.0
133,70,70,1.0
356,90,90,1.0
444,96,96,1.0
126,1920,1920,1.0
163,960,960,1.0
48,5400,5400,1.0
114,1800,1800,1.0
433,96,96,1.0
0,720,720,1.0
366,72,72,1.0
159,3696,3696,1.0
380,1152,1152,1.0
218,96,96,1.0
497,60,60,1.0
83,6528,6528,1.0
150,96,96,1.0
494,384,384,1.0
173,1152,1152,1.0
491,1248,1248,1.0
40,576,576,1.0
15,192,192,1.0
32,2208,2208,1.0
87,120,120,1.0
9,2340,2340,1.0
52,432,432,1.0
155,486,486,1.0
335,528,528,1.0
311,180,180,1.0
213,32,32,1.0
392,1080,1080,1.0
22,1008,1008,1.0
1,1080,1080,1.0
188,120,120,1.0
171,240,240,1.0
50,297,297,1.0
36,192,192,1.0
455,160,160,1.0
436,64,64,1.0
387,81,81,1.0
383,45,45,1.0
19,144,144,1.0
194,2880,2880,1.0
180,1512,1512,1.0
350,432,432,1.0
189,432,432,1.0
376,144,144,1.0
425,540,540,1.0
399,100,100,1.0
414,308,308,1.0
139,168,168,1.0
145,144,144,1.0
282,288,288,1.0
451,216,216,1.0
109,1584,1584,1.0
461,180,180,1.0
122,480,480,1.0
28,144,144,1.0
59,432,432,1.0
226,244,244,1.0
108,2100,2100,1.0
355,180,180,1.0
190,88,88,1.0
25,480,480,1.0
49,2880,2880,1.0
104,1800,1800,1.0
86,1120,1120,1.0
71,216,216,1.0
360,420,420,1.0
23,2730,2730,1.0
384,60,60,1.0
186,630,630,1.0
158,1056,1056,1.0
33,2160,2160,1.0
320,2688,2688,1.0
43,3840,3840,1.0
298,1080,1080,1.0
463,612,612,1.0
246,96,96,1.0
29,5040,5040,1.0
143,336,336,1.0
375,504,504,1.0
103,1512,1512,1.0
223,96,96,1.0
89,480,480,1.0
195,150,150,1.0
3,2496,2496,1.0
413,2016,2016,1.0
183,1152,1152,1.0
73,840,840,1.0
131,216,216,1.0
140,100,100,1.0
17,1836,1836,1.0
75,180,180,1.0
265,150,150,1.0
431,40,40,1.0
2,528,528,1.0
169,960,960,1.0
18,390,390,1.0
147,3456,3456,1.0
113,154,154,1.0
478,320,320,1.0
452,36,36,1.0
424,480,480,1.0
181,192,192,1.0
458,48,48,1.0
492,648,648,1.0
469,52,52,1.0
10,3570,3570,1.0
448,462,462,1.0
78,2880,2880,1.0
118,1260,1260,1.0
105,84,84,1.0
299,1296,1296,1.0
96,576,576,1.0
119,444,444,1.0
146,240,240,1.0
149,960,960,1.0
63,420,420,1.0
277,384,384,1.0
249,24,24,1.0
124,96,96,1.0
352,1080,1080,1.0
107,180,180,1.0
200,840,840,1.0
93,330,330,1.0
403,480,480,1.0
447,240,240,1.0
7,3072,3072,1.0
12,128,128,1.0
349,144,144,1.0
54,3360,3360,1.0
261,768,768,1.0
301,384,384,1.0
336,96,96,1.0
398,1224,1224,1.0
161,1680,1680,1.0
46,450,450,1.0
351,384,384,1.0
106,144,144,1.0
85,120,120,1.0
328,1248,1248,1.0
90,192,192,1.0
345,144,144,1.0
24,300,300,1.0
81,72,72,1.0
4,132,132,1.0
341,192,192,1.0
152,72,72,1.0
5,2880,2880,1.0
241,24,24,1.0
271,864,864,1.0
408,672,672,1.0
56,960,960,1.0
337,960,960,1.0
98,780,780,1.0
309,100,100,1.0
69,288,288,1.0
253,384,384,1.0
423,96,96,1.0
53,120,120,1.0
393,108,108,1.0
479,288,288,1.0
273,840,840,1.0
313,24,24,1.0
457,96,96,1.0
468,1470,1470,1.0
191,2640,2640,1.0
498,360,360,1.0
290,936,936,1.0
38,4608,4608,1.0
57,90,90,1.0
100,180,180,1.0
154,3600,3600,1.0
178,1344,1344,1.0
45,864,864,1.0
254,108,108,1.0
99,192,192,1.0
141,450,450,1.0
142,4224,4224,1.0
31,792,792,1.0
327,16,16,1.0
42,360,360,1.0
130,144,144,1.0
276,80,80,1.0
385,240,240,1.0
382,48,48,1.0
151,1152,1152,1.0
317,48,48,1.0
60,72,72,1.0
405,308,308,1.0
125,480,480,1.0
116,312,312,1.0
449,420,420,1.0
199,90,90,1.0
94,216,216,1.0
117,2352,2352,1.0
177,480,480,1.0
464,1344,1344,1.0
39,4680,4680,1.0
262,30,30,1.0
484,1296,1296,1.0
310,140,140,1.0
225,280,280,1.0
164,2304,2304,1.0
314,385,385,1.0
82,1344,1344,1.0
394,360,360,1.0
477,180,180,1.0
466,48,48,1.0
232,108,108,1.0
374,936,936,1.0
231,48,48,1.0
135,768,768,1.0
319,96,96,1.0
170,240,240,1.0
300,26,26,1.0
323,72,72,1.0
70,168,168,1.0
362,128,128,1.0
64,216,216,1.0
193,1600,1600,1.0
172,240,240,1.0
65,144,144,1.0
26,3960,3960,1.0
157,84,84,1.0
129,384,384,1.0
312,48,48,1.0
435,27,27,1.0
294,108,108,1.0
203,60,60,1.0
127,1920,1920,1.0
332,360,360,1.0
138,324,324,1.0
156,810,810,1.0
220,120,120,1.0
176,144,144,1.0
20,2808,2808,1.0
379,144,144,1.0
74,3168,3168,1.0
67,120,120,1.0
120,1680,1680,1.0
390,48,48,1.0
364,120,120,1.0
459,180,180,1.0
470,240,240,1.0
456,32,32,1.0
325,108,108,1.0
283,80,80,1.0
251,1224,1224,1.0
250,24,24,1.0
263,144,144,1.0
238,264,264,1.0
132,1320,1320,1.0
453,720,720,1.0
373,72,72,1.0
280,72,72,1.0
443,1440,1440,1.0
258,24,24,1.0
185,1320,1320,1.0
267,1056,1056,1.0
44,1440,1440,1.0
370,480,480,1.0
488,336,336,1.0
422,192,192,1.0
101,2688,2688,1.0
303,96,96,1.0
242,180,180,1.0
326,108,108,1.0
415,72,72,1.0
460,48,48,1.0
400,72,72,1.0
222,1824,1824,1.0
347,144,144,1.0
275,108,108,1.0
368,50,50,1.0
389,48,48,1.0
175,144,144,1.0
266,200,200,1.0
359,192,192,1.0
184,960,960,1.0
472,231,231,1.0
174,1080,1080,1.0
207,108,108,1.0
296,60,60,1.0
404,120,120,1.0
450,72,72,1.0
162,144,144,1.0
409,240,240,1.0
441,168,168,1.0
295,90,90,1.0
