item_id,current_global_qty,max_global_qty,global_inv_level
0,504,504,1.0
1,936,936,1.0
2,312,312,1.0
3,3744,3744,1.0
4,126,126,1.0
5,3456,3456,1.0
6,140,140,1.0
7,3264,3264,1.0
8,480,480,1.0
9,1980,1980,1.0
10,2730,2730,1.0
11,4488,4488,1.0
12,168,168,1.0
13,1536,1536,1.0
14,144,144,1.0
15,120,120,1.0
16,204,204,1.0
17,540,540,1.0
18,360,360,1.0
19,168,168,1.0
20,2376,2376,1.0
21,4752,4752,1.0
22,1224,1224,1.0
23,4200,4200,1.0
24,240,240,1.0
25,480,480,1.0
26,5760,5760,1.0
27,6384,6384,1.0
28,132,132,1.0
29,4320,4320,1.0
30,384,384,1.0
31,1080,1080,1.0
32,1248,1248,1.0
33,2640,2640,1.0
34,6048,6048,1.0
35,1920,1920,1.0
36,204,204,1.0
37,4992,4992,1.0
38,5376,5376,1.0
39,6840,6840,1.0
40,312,312,1.0
41,960,960,1.0
42,360,360,1.0
43,4080,4080,1.0
44,2160,2160,1.0
45,1368,1368,1.0
46,780,780,1.0
47,630,630,1.0
48,6480,6480,1.0
49,3120,3120,1.0
50,189,189,1.0
51,2352,2352,1.0
52,384,384,1.0
53,108,108,1.0
54,2352,2352,1.0
55,504,504,1.0
56,2304,2304,1.0
57,330,330,1.0
58,2112,2112,1.0
59,324,324,1.0
60,144,144,1.0
61,1296,1296,1.0
62,180,180,1.0
63,420,420,1.0
64,240,240,1.0
65,120,120,1.0
66,576,576,1.0
67,84,84,1.0
68,3520,3520,1.0
69,240,240,1.0
70,192,192,1.0
71,120,120,1.0
72,840,840,1.0
73,1200,1200,1.0
74,4032,4032,1.0
75,36,36,1.0
76,60,60,1.0
77,1584,1584,1.0
78,1200,1200,1.0
79,96,96,1.0
80,224,224,1.0
81,108,108,1.0
82,1848,1848,1.0
83,3456,3456,1.0
84,240,240,1.0
85,240,240,1.0
86,560,560,1.0
87,96,96,1.0
88,900,900,1.0
89,240,240,1.0
90,120,120,1.0
91,180,180,1.0
92,210,210,1.0
93,240,240,1.0
94,288,288,1.0
95,1200,1200,1.0
96,864,864,1.0
97,60,60,1.0
98,360,360,1.0
99,96,96,1.0
100,180,180,1.0
101,1920,1920,1.0
102,192,192,1.0
103,1008,1008,1.0
104,2880,2880,1.0
105,72,72,1.0
106,168,168,1.0
107,324,324,1.0
108,2310,2310,1.0
109,2112,2112,1.0
110,2520,2520,1.0
111,189,189,1.0
112,1512,1512,1.0
113,110,110,1.0
114,2520,2520,1.0
115,1536,1536,1.0
116,216,216,1.0
117,2688,2688,1.0
118,1440,1440,1.0
119,666,666,1.0
120,2160,2160,1.0
121,33,33,1.0
122,432,432,1.0
123,140,140,1.0
124,84,84,1.0
125,480,480,1.0
126,960,960,1.0
127,1536,1536,1.0
128,96,96,1.0
129,240,240,1.0
130,216,216,1.0
131,378,378,1.0
132,1848,1848,1.0
133,84,84,1.0
134,144,144,1.0
135,1056,1056,1.0
136,288,288,1.0
137,210,210,1.0
138,252,252,1.0
139,112,112,1.0
140,110,110,1.0
141,240,240,1.0
142,2304,2304,1.0
143,336,336,1.0
144,1800,1800,1.0
145,264,264,1.0
146,96,96,1.0
147,2688,2688,1.0
148,3600,3600,1.0
149,2400,2400,1.0
150,192,192,1.0
151,864,864,1.0
152,96,96,1.0
153,420,420,1.0
154,4320,4320,1.0
155,540,540,1.0
156,729,729,1.0
157,120,120,1.0
158,768,768,1.0
159,1680,1680,1.0
160,50,50,1.0
161,1890,1890,1.0
162,264,264,1.0
163,576,576,1.0
164,4224,4224,1.0
165,910,910,1.0
166,360,360,1.0
167,1680,1680,1.0
168,4032,4032,1.0
169,640,640,1.0
170,420,420,1.0
171,240,240,1.0
172,360,360,1.0
173,576,576,1.0
174,810,810,1.0
175,240,240,1.0
176,288,288,1.0
177,160,160,1.0
178,960,960,1.0
179,216,216,1.0
180,1728,1728,1.0
181,168,168,1.0
182,144,144,1.0
183,2880,2880,1.0
184,1536,1536,1.0
185,1080,1080,1.0
186,350,350,1.0
187,108,108,1.0
188,72,72,1.0
189,180,180,1.0
190,88,88,1.0
191,1320,1320,1.0
192,3240,3240,1.0
193,2560,2560,1.0
194,1728,1728,1.0
195,270,270,1.0
196,135,135,1.0
197,3024,3024,1.0
198,2016,2016,1.0
199,80,80,1.0
200,840,840,1.0
201,420,420,1.0
202,936,936,1.0
203,90,90,1.0
204,100,100,1.0
205,120,120,1.0
206,120,120,1.0
207,144,144,1.0
208,144,144,1.0
209,420,420,1.0
210,480,480,1.0
211,672,672,1.0
212,1152,1152,1.0
213,24,24,1.0
214,336,336,1.0
215,792,792,1.0
216,140,140,1.0
217,144,144,1.0
218,48,48,1.0
219,72,72,1.0
220,180,180,1.0
221,280,280,1.0
222,1824,1824,1.0
223,96,96,1.0
224,1728,1728,1.0
225,120,120,1.0
226,183,183,1.0
227,36,36,1.0
228,228,228,1.0
229,288,288,1.0
230,60,60,1.0
231,120,120,1.0
